result_type,donor_cm3,fermi_dirac_fermi_level_eV,boltzmann_fermi_level_eV,electron_ratio_fd_mb,hole_ratio_fd_mb,scope_notes
NUMERICAL RESULT,3.2640850616539636e+16,0.9491215655242189,0.9491110310294841,0.9999999999999929,0.9995925905636,
NUMERICAL RESULT,3.627713887134255e+16,0.951853309230257,0.9518416011823873,1.0000000000000924,0.9995472150258234,
NUMERICAL RESULT,4.0318520499089544e+16,0.9545851836685795,0.9545721713352056,1.0,0.9994967871259521,
NUMERICAL RESULT,4.481012411151442e+16,0.9573172034021388,0.9573027414880719,1.0,0.9994407446287423,
NUMERICAL RESULT,4.9802105782494376e+16,0.9600493846157496,0.9600333116409236,1.0,0.9993784628088618,
NUMERICAL RESULT,5.535020912234954e+16,0.9627817452970249,0.9627638817937884,1.0,0.9993092475226664,
NUMERICAL RESULT,6.1516387746092216e+16,0.9655143054371839,0.9654944519468471,0.999999999999993,0.9992323275167814,
NUMERICAL RESULT,6.83694970864986e+16,0.9682470872532114,0.9682250220995012,1.0,0.9991468458894756,
NUMERICAL RESULT,7.598606327722286e+16,0.9709801154377689,0.9709555922523605,1.0,0.9990518506130569,
NUMERICAL RESULT,8.445113769178622e+16,0.9737134174326828,0.9736861624052195,0.999999999999993,0.9989462840153147,
NUMERICAL RESULT,9.38592466807652e+16,0.9764470237361385,0.9764167325580787,1.0,0.998828971107692,
NUMERICAL RESULT,1.0431544711253258e+17,0.9791809682427076,0.9791473027109379,1.000000000000007,0.9986986066361105,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.1593649950439669e+17,0.9819152886214354,0.9818778728637975,0.9999999999999928,0.9985537407172788,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.2885217184405016e+17,0.9846500267359789,0.9846084430166564,1.0,0.9983927629096844,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.432066886606232e+17,0.9873852291114752,0.9873390131695192,1.0000000000001066,0.9982138845529949,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.5916034152658054e+17,0.9901209474532766,0.9900695833223697,1.0000000000001066,0.9980151191934147,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.7689127897434e+17,0.992857239223465,0.9928001534752342,1.000000000000007,0.9977942608928616,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,1.965974958149475e+17,0.995594168281262,0.9955307236280937,0.9999999999999928,0.9975488602030612,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.184990440728019e+17,0.9983318055947575,0.9982612937809631,0.9999999999999147,0.9972761975631605,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.4284049022509658e+17,1.0010702300316487,1.0009918639339208,0.9999999999992254,0.996973253856018,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.6989364618509024e+17,1.0038095292373819,1.0037224340866713,0.9999999999999929,0.9966366778329024,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,2.9996060452506323e+17,1.0065498006119784,1.0064530042395305,1.0,0.9962627501061652,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.3337711183217894e+17,1.0092911523934838,1.0091835743923898,0.9999999999999858,0.9958473433462252,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,3.705163178662644e+17,1.0120337048629573,1.011914144545249,1.000000000000007,0.9953858783399405,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,4.1179294238496557e+17,1.0147775916824426,1.0146447146981081,1.0,0.994873275499061,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
NUMERICAL RESULT,4.576679061656714e+17,1.017522961381265,1.0173752848509676,1.0000000000000069,0.9943039013984711,Total doping exceeds 1e17 cm^-3: formal ideal-model study only; dopant interactions and band-gap narrowing are omitted.
