result_type,reduced_fermi_energy,boltzmann_density_error_percent
NUMERICAL RESULT,0.2510460251046034,38.3188346044822
NUMERICAL RESULT,0.30962343096234335,40.33147643501751
NUMERICAL RESULT,0.3682008368200833,42.44040713448918
NUMERICAL RESULT,0.42677824267782505,44.64968457251557
NUMERICAL RESULT,0.485355648535565,46.963523288913464
NUMERICAL RESULT,0.543933054393305,49.386301906236206
NUMERICAL RESULT,0.6025104602510467,51.92257102303692
NUMERICAL RESULT,0.6610878661087867,54.57706160768239
NUMERICAL RESULT,0.7196652719665266,57.35469391234267
NUMERICAL RESULT,0.7782426778242684,60.260586926700064
NUMERICAL RESULT,0.8368200836820083,63.30006839098572
NUMERICAL RESULT,0.8953974895397483,66.47868538818129
NUMERICAL RESULT,0.95397489539749,69.80221553562392
NUMERICAL RESULT,1.01255230125523,73.27667879684961
NUMERICAL RESULT,1.07112970711297,76.90834993529943
NUMERICAL RESULT,1.1297071129707117,80.70377163250197
NUMERICAL RESULT,1.1882845188284517,84.6697682945417
NUMERICAL RESULT,1.2468619246861934,88.81346057201259
NUMERICAL RESULT,1.3054393305439334,93.14228062024192
NUMERICAL RESULT,1.3640167364016733,97.66398812835378
NUMERICAL RESULT,1.422594142259415,102.38668714769328
NUMERICAL RESULT,1.481171548117155,107.31884375227474
NUMERICAL RESULT,1.539748953974895,112.469304566218
NUMERICAL RESULT,1.5983263598326367,117.84731619559965
NUMERICAL RESULT,1.6569037656903767,123.46254560476085
NUMERICAL RESULT,1.7154811715481166,129.32510147988165
NUMERICAL RESULT,1.7740585774058584,135.44555662552943
NUMERICAL RESULT,1.8326359832635983,141.8349714429395
NUMERICAL RESULT,1.8912133891213383,148.5049185419654
NUMERICAL RESULT,1.94979079497908,155.4675085419519
NUMERICAL RESULT,2.00836820083682,162.73541712024016
NUMERICAL RESULT,2.06694560669456,170.32191337061658
NUMERICAL RESULT,2.1255230125523017,178.2408895377467
NUMERICAL RESULT,2.1841004184100417,186.50689219753684
NUMERICAL RESULT,2.2426778242677816,195.13515495741865
NUMERICAL RESULT,2.3012552301255234,204.14163275475636
NUMERICAL RESULT,2.3598326359832633,213.54303783598715
NUMERICAL RESULT,2.418410041841005,223.3568775036778
NUMERICAL RESULT,2.476987447698745,233.60149372346405
NUMERICAL RESULT,2.535564853556485,244.29610468784287
NUMERICAL RESULT,2.5941422594142267,255.46084843900167
NUMERICAL RESULT,2.6527196652719667,267.116828658342
NUMERICAL RESULT,2.7112970711297066,279.2861627360848
NUMERICAL RESULT,2.7698744769874484,291.99203224033636
NUMERICAL RESULT,2.8284518828451883,305.2587359112966
NUMERICAL RESULT,2.8870292887029283,319.11174531290385
NUMERICAL RESULT,2.94560669456067,333.5777632811361
NUMERICAL RESULT,3.00418410041841,348.68478531549886
NUMERICAL RESULT,3.06276150627615,364.4621640678838
NUMERICAL RESULT,3.1213389121338917,380.94067709104536
NUMERICAL RESULT,3.1799163179916317,398.1525980174311
NUMERICAL RESULT,3.2384937238493716,416.1317713480235
NUMERICAL RESULT,3.2970711297071134,434.9136910402349
NUMERICAL RESULT,3.3556485355648533,454.5355830938064
NUMERICAL RESULT,3.414225941422595,475.03649234406214
NUMERICAL RESULT,3.472803347280335,496.4573736828355
NUMERICAL RESULT,3.531380753138075,518.8411879389479
NUMERICAL RESULT,3.5899581589958167,542.2330026622761
NUMERICAL RESULT,3.6485355648535567,566.6800980682569
NUMERICAL RESULT,3.7071129707112966,592.2320784132074
NUMERICAL RESULT,3.7656903765690384,618.9409890850252
NUMERICAL RESULT,3.8242677824267783,646.8614397088533
NUMERICAL RESULT,3.8828451882845183,676.0507335830783
NUMERICAL RESULT,3.94142259414226,706.5690037776578
NUMERICAL RESULT,4.0,738.4793562443216
