result_type,temperature_K,electron_incomplete_cm3,hole_incomplete_cm3,electron_complete_cm3,intrinsic_boltzmann_analytical_cm3,ionized_donor_fraction,fermi_level_eV,bandgap_eV,scope_notes
NUMERICAL RESULT,156.89126545630745,994616982466587.6,3.335485225546156e-15,999999999999991.8,1.8214387650269863,0.9946169824665946,1.029293206119908,1.1548159775776123,
NUMERICAL RESULT,159.73808979469584,995061452112978.1,1.6701583497519266e-14,1000000000000013.0,4.076718447347337,0.9950614521129781,1.0261671418774623,1.1543327108222265,
NUMERICAL RESULT,162.63657034727842,995464744124838.0,8.137972751315206e-14,999999999999998.9,9.000731742994223,0.995464744124831,1.022970823377509,1.153834352052855,
NUMERICAL RESULT,165.58764442670565,995831030068511.8,3.860518614630402e-13,999999999996417.6,19.607500561921206,0.9958310300685046,1.0197027345361185,1.1533204669845865,
NUMERICAL RESULT,168.59226635335855,996164029043411.2,1.7838288348608379e-12,1000000000001846.2,42.15493538374976,0.9961640290434184,1.016361322516102,1.1527906104273016,
NUMERICAL RESULT,171.65140776395836,996467059188484.1,8.032348139264944e-12,999999999999998.9,89.4661969319706,0.9964670591884911,1.0129449974200782,1.1522443260750324,
NUMERICAL RESULT,174.76605792577456,996743083174112.9,3.52625622039319e-11,1000000000000005.9,187.4798619502782,0.9967430831740703,1.009452131935011,1.1516811462934953,
NUMERICAL RESULT,177.93722405653563,996994748376330.2,1.5099546836990063e-10,999999999999998.9,388.0023080500489,0.9969947483764577,1.005881060932124,1.1511005919058457,
NUMERICAL RESULT,181.16593165014254,997224422353538.9,6.309369311984241e-10,1000000000000197.8,793.2227989598697,0.997224422356855,1.0022300810256943,1.1505021719767061,
NUMERICAL RESULT,184.4532248082952,997434224191854.2,2.5737708229010666e-09,1000000000000524.6,1602.2588465235128,0.9974342241974035,0.9984974500940743,1.1498853835945235,
NUMERICAL RESULT,187.80016657813331,997626052182844.0,1.0254211176349382e-08,1000000000000304.4,3198.4567307500492,0.9976260521847082,0.9946813867653512,1.1492497116523075,
NUMERICAL RESULT,191.20783929600626,997801608274028.9,3.9917780938337795e-08,1000000000000055.6,6311.180643643968,0.9978016082741777,0.9907800698702112,1.1485946286268052,
NUMERICAL RESULT,194.6773449374792,997962419718212.9,1.518945990053382e-07,1000000000000005.9,12312.136874262482,0.99796241971822,0.9867916378649303,1.1479195943561686,
NUMERICAL RESULT,198.20980547369172,998109858201068.1,5.652062516153222e-07,999999999999998.9,23751.86353299892,0.998109858195898,0.9827141882255077,1.1472240558161653,
NUMERICAL RESULT,201.8063632341801,998245156741650.5,2.057472359186632e-06,999999999997241.9,45320.064113404624,0.9982451567416505,0.9785457768145717,1.1465074468949936,
NUMERICAL RESULT,205.46818127628563,998369424734527.1,7.329834180858883e-06,999999999999991.8,85545.56245057312,0.9983694247345057,0.9742844172243891,1.145769188166751,
NUMERICAL RESULT,209.19644376126521,998483661177759.5,2.5565542010543506e-05,1000000000000041.5,159772.72121559663,0.9984836611785753,0.9699280800941226,1.145008686663614,
NUMERICAL RESULT,212.99235633722515,998588766476854.1,8.733357019709666e-05,999999999999473.0,295317.01538096333,0.9985887664768968,0.9654746924056933,1.144225335646779,
NUMERICAL RESULT,216.8571465290052,998685552876804.8,0.00029230381536664665,999999999999984.6,540301.3230125062,0.9986855528768047,0.960922136757078,1.1434185143762223,
NUMERICAL RESULT,220.79206413513617,998774753743300.5,0.0009589006859809494,1000000000000013.0,978644.3228022287,0.9987747537433076,0.9562682506150298,1.1425875878793226,
NUMERICAL RESULT,224.79838163200125,998857031797695.2,0.0030842858744117995,1000000000000986.5,1755226.441541696,0.998857031797816,0.9515108255473748,1.1417319067184026,
NUMERICAL RESULT,228.877394585329,998932986437603.6,0.009730399059331214,999999999999998.9,3117723.287706101,0.9989329864433528,0.9466476064357061,1.1408508067572334,
NUMERICAL RESULT,233.03042206915595,999003160282246.4,0.030119804153867513,999999999999998.9,5485465.131572933,0.9990031602822463,0.9416762906696616,1.1399436089265493,
NUMERICAL RESULT,237.25880709238808,999068044920132.1,0.09150963709900711,999999999999991.8,9561693.132884897,0.9990680449201321,0.9365945273209461,1.1390096189886165,
NUMERICAL RESULT,241.56391703310499,999128086138121.9,0.27297306538829197,999999999999991.8,16514834.68559279,0.999128086138129,0.9313999163013453,1.1380481273008938,
NUMERICAL RESULT,245.94714408074293,999183688505318.9,0.7997486222964332,999999999999998.9,28268519.716063105,0.9991836885059294,0.926090007501105,1.1370584085788278,
NUMERICAL RESULT,250.40990568630318,999235219495505.2,2.302013382582243,1000000000001476.8,47961343.55994158,0.9992352194993607,0.9206622999102697,1.1360397216578142,
NUMERICAL RESULT,254.9536450207264,999283013178624.2,6.5120871434232415,999999999999998.9,80669211.50981635,0.9992830131786172,0.9151142407226848,1.1349913092543558,
NUMERICAL RESULT,259.57983144158845,999327373476771.0,18.110292969414004,1000000000000020.1,134530264.39990443,0.9993273734768064,0.9094432244215912,1.1339123977264478,
NUMERICAL RESULT,264.2899609682603,999368577142324.2,49.52860780332856,1000000000000048.5,222481642.30700037,0.9993685771422817,0.9036465918493622,1.1328021968332103,
NUMERICAL RESULT,269.08555676569296,999406876373655.0,133.24232476640708,1000000000000126.8,364918143.5213742,0.9994068763735271,0.8977216292587412,1.1316598994937885,
NUMERICAL RESULT,273.9681696369789,999442501180878.4,352.7048473356506,1000000000000361.2,593728266.76496,0.9994425011805304,0.8916655673472684,1.1304846815455345,
NUMERICAL RESULT,278.9393785248534,999475661503641.6,918.9443188162228,1000000000000915.4,958371151.2343943,0.9994756615027255,0.8854755802742362,1.1292757015014776,
NUMERICAL RESULT,284.0007910222915,999506549111799.9,2357.21192926513,1000000000011317.8,1534952989.2751093,0.9995065491102161,0.8791487846601865,1.1280321003070914,
NUMERICAL RESULT,289.15404389237534,999535339317673.0,5954.709998984563,1000000000006010.0,2439676529.5974464,0.9995353393117499,0.8726822385689491,1.1267530010963493,
NUMERICAL RESULT,294.4008035975897,999562192505019.1,14818.145194938863,1000000000014977.0,3848616352.8756638,0.9995621924903457,0.8660729404716998,1.1254375089470645,
NUMERICAL RESULT,299.74276683872444,999587255521371.8,36334.13753876063,1000000000036321.8,6026574038.633283,0.9995872554850423,0.8593178281935504,1.1240847106354992,
NUMERICAL RESULT,305.18166110355486,999610662923003.6,87808.80376128947,1000000000087772.1,9368867815.576319,0.9996106628351934,0.852413777841806,1.12269367439022,
NUMERICAL RESULT,310.71924522547874,999632538111035.5,209206.79813814608,1000000000209083.1,14461410672.209326,0.9996325379018646,0.8453576027162749,1.1212634496451743,
NUMERICAL RESULT,316.35730995228727,999652994370702.9,491516.7672720672,1000000000491346.2,22166458238.344856,0.9996529938791922,0.8381460522013953,1.1197930667919493,
NUMERICAL RESULT,322.09767852525925,999672135844222.0,1139026.8725776493,1000000001140974.1,33744128381.122993,0.999672134707293,0.8307758106404731,1.118281536931174,
NUMERICAL RESULT,327.9422072687632,999690058501060.5,2604167.952494371,1000000002603356.4,51023418556.676636,0.9996900558968975,0.8232434961933609,1.1167278516230106,
NUMERICAL RESULT,333.89278619055483,999706851150284.4,5875539.565285598,1000000005873814.0,76641239506.74254,0.9997068452747389,0.8155456596785967,1.1151309826366798,
NUMERICAL RESULT,339.95133959297027,999722596742841.9,13084969.553227298,1000000013080742.5,114374276344.1446,0.9997225836578706,0.8076787834071485,1.1134898816989516,
NUMERICAL RESULT,346.1198266952077,999737374234239.0,28770303.998169415,1000000028762811.8,169596691771.3831,0.9997373454640064,0.7996392800166434,1.1118034802415258,
NUMERICAL RESULT,352.4002422669024,999751261737579.1,62468588.46309447,1000000062459137.2,249907307618.69305,0.9997511992642446,0.791423491330163,1.110070689147221,
NUMERICAL RESULT,358.79461727319426,999764342258032.0,133974259.27185228,1000000133942656.8,365983558912.95984,0.9997642082837759,0.7830276872844033,1.1082903984948755,
NUMERICAL RESULT,365.30501953150565,999776714724478.5,283869415.7039654,1000000283805800.2,532736959592.8042,0.9997764308551603,0.7744480650230046,1.106461477302863,
NUMERICAL RESULT,371.9335543802308,999788515184504.9,594356184.3213714,1000000594230106.4,770866953491.328,0.9997879208283456,0.7656807483329608,1.104582773271107,
